brand_slug,name,location_type,channel_type,region_label,address,url,evidence_url,source_type,source_chain,confidence,notes
timu-aqua,日大潛水 RIDA Diving｜台中店,stockist,offline,台中市,台中市西屯區經貿九路550號,https://www.rida-shop.com.tw,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,夢行俱樂部,stockist,offline,台中市,台中市西屯區中工三路59巷2號,https://www.instagram.com/dreamtraveler_club/,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,裝備租客,stockist,offline,台南市,台南市中西區公園路5號,https://www.equipment.tw,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,TIMU® 總部直營門市 Show Room,showroom_studio,offline,高雄市,高雄市橋頭區成功南路671號,https://www.timu-aqua.com/pages/stockist,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,採預約制
timu-aqua,日大潛水 RIDA Diving,stockist,offline,高雄市,高雄市新興區民生一路164號,https://www.rida-shop.com.tw,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,Olais Boutique,stockist,offline,屏東縣,屏東縣恆春鎮中山路69號,https://www.instagram.com/olais.boutique/,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,海島小飾 Peachy Lil Things,stockist,offline,屏東縣,屏東縣琉球鄉觀光港路12-9號,https://www.instagram.com/peachy_lil_things/,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,#店名還沒想好｜茫奇選品,stockist,offline,台東縣,台東縣綠島鄉公館村3鄰15-3號,https://www.instagram.com/mkmkmk_0529/,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,
timu-aqua,SANKINI,stockist,offline,香港,香港荔枝角青山道,https://www.sankini.com,https://www.timu-aqua.com/pages/stockist,official_website,official_website → stockist_page,high,預約試穿；需聯絡 SANKINI Instagram
sain-sou,Sain Sou 松山直營門市,direct_store,offline,台北市,台北市信義區松山路133號1樓,https://www.sain-sou.com.tw/pages/page-location,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,浮兒樂,stockist,offline,桃園市,桃園市八德區建德路273號1F,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,愛夏天泳裝-聖手牌基隆店,stockist,offline,基隆市,基隆市信義區信二路49號1F,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,大四美內衣,stockist,offline,基隆市,基隆市愛三路59號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,大中企業,stockist,offline,基隆市,基隆市安樂區武訓街100號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,DR.OCEAN-海柏士泳裝,stockist,offline,基隆市,基隆市安樂區安一路331號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,莫妮娜事業有限公司,stockist,offline,台中市,台中市北屯區青島路三段71號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,貝蒂精品休閒服飾,stockist,offline,彰化縣,彰化縣鹿港鎮中山路146號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,瑪丹娜泳裝,stockist,offline,彰化縣,彰化縣和美鎮仁安路281號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,台南愛買（聖手櫃位）,department_store_counter,offline,台南市,台南市永康區中正南路533號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
sain-sou,喬伊泳裝,stockist,offline,台南市,台南市西區健康路一段208號,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,medium,官方來源地址使用「台南市西區」舊／異常行政區寫法，原文保留
sain-sou,自然紀行,stockist,offline,屏東縣,屏東縣恆春鎮墾丁路2號B1商店街,,https://www.sain-sou.com.tw/pages/page-location,official_website,official_website → 銷售據點,high,
